,v_e,r_v_e,m_e,r_m_e,t_sigma,s_sigma
8,175.8841,0.034397736,3865.7576,2.9265792,5,10.0
9,6.296875,0.00096843735,6176.0205,4.380726,5,10.0
10,16.423157,0.0030833299,3407.9458,2.4644718,5,10.0
11,4.709839,0.00085345225,2776.233,2.1345322,5,10.0
12,11.543091,0.0017525052,6555.9155,4.606067,5,10.0
13,6.4552,0.000980774,7112.829,4.9459434,5,10.0
14,26.953735,0.004558841,4476.8374,3.1623533,5,10.0
15,2.8028564,0.00037621343,3741.119,2.5656095,5,10.0
16,2.0251465,0.000267608,4575.016,3.0823278,5,10.0
17,39.28369,0.005423536,10124.381,6.8685904,5,10.0
18,216.11865,0.040027108,4801.412,3.2898722,5,10.0
19,3.0982666,0.00043483515,2229.347,1.6243196,5,10.0
20,9.6935425,0.0016664638,4398.384,2.8694563,5,10.0
21,16.158447,0.0026315995,8284.671,5.426607,5,10.0
22,19.032349,0.0027991482,5817.544,4.1498017,5,10.0
23,26.096802,0.004136786,7412.705,4.644871,5,10.0
24,1.7236328,0.00024658305,1948.9478,1.343909,5,10.0
25,6.9732666,0.001279818,2673.2852,1.8772994,5,10.0
26,1.8803711,0.00029579893,4081.3264,3.2281988,5,10.0
27,33.601196,0.006505711,4749.4443,3.034579,5,10.0
28,270.14062,0.054478347,5560.152,3.586638,5,10.0
29,6.198242,0.0010114318,4542.353,2.9671862,5,10.0
30,164.77014,0.029015092,5453.5674,3.8617382,5,10.0
31,1.9370728,0.00034679708,2208.294,1.7018225,5,10.0
32,0.8410034,0.00014630443,1302.0009,0.919898,5,10.0
33,5.8325195,0.0008564238,2884.6724,2.144516,5,10.0
34,0.8348999,0.00014980916,1491.4915,1.1016113,5,10.0
35,1.6398926,0.00023357665,1603.686,1.1506941,5,10.0
36,5.612793,0.00090504583,3214.1865,2.151207,5,10.0
37,20.576172,0.0036288043,4252.712,3.0650613,5,10.0
38,1.6781006,0.00024101666,4673.382,3.2262263,5,10.0
39,0.87298584,0.0001645873,2885.5115,2.044139,5,10.0
40,0.8812256,0.00015174874,2681.0828,1.9479256,5,10.0
41,16.17688,0.0025393579,9403.363,6.6001167,5,10.0
42,10.301758,0.0017279774,4260.506,3.0890627,5,10.0
43,3.1236572,0.00050238264,4277.779,2.8844602,5,10.0
44,2.0888672,0.00028806788,7763.5273,5.554547,5,10.0
45,3.5029297,0.00044747893,5080.906,3.5037804,5,10.0
46,0.3717041,6.000155e-05,1760.3704,1.3633754,5,10.0
47,1.2764893,0.00019115658,1306.3257,0.9698196,5,10.0
48,2.7435303,0.0004945752,2926.479,2.08581,5,10.0
49,1.7573242,0.0002542089,2617.2168,1.7907735,5,10.0
0,56.536255,0.009333521,8537.428,5.776584,5,100.0
1,9.448853,0.0011791422,7451.1196,4.8999195,5,100.0
2,22.653442,0.0036008218,6838.96,4.753092,5,100.0
3,7.8276978,0.0014215148,2637.0215,1.8802556,5,100.0
4,87.31549,0.016830342,3833.667,2.7481003,5,100.0
5,10.234375,0.0014281053,7454.9033,4.9123816,5,100.0
6,7.5355225,0.0013017565,3600.4016,2.820016,5,100.0
7,3.5026245,0.00063030515,2424.7144,1.7306508,5,100.0
8,159.00433,0.031096553,3977.9607,3.011493,5,100.0
9,6.289795,0.00096734846,6175.3867,4.3802023,5,100.0
10,15.126221,0.0028398396,3467.474,2.5074866,5,100.0
11,4.6394043,0.00084068906,2776.796,2.1349287,5,100.0
12,11.411743,0.0017325636,6561.125,4.6096725,5,100.0
13,6.4467773,0.0009794943,7112.437,4.9456306,5,100.0
14,25.384277,0.0042933896,4477.0303,3.1624403,5,100.0
15,2.8041992,0.00037639364,3740.9448,2.5654483,5,100.0
16,2.0238037,0.00026743056,4575.1533,3.082362,5,100.0
17,39.2782,0.005422778,10124.573,6.8686914,5,100.0
18,201.9784,0.037408207,4964.4556,3.4015322,5,100.0
19,3.0994873,0.00043500648,2229.341,1.6242965,5,100.0
20,9.332764,0.0016044406,4408.4673,2.876002,5,100.0
21,15.561523,0.0025343832,8341.674,5.463913,5,100.0
22,19.035645,0.002799633,5817.3394,4.149634,5,100.0
23,24.77832,0.003927784,7435.0405,4.65882,5,100.0
24,1.7232666,0.00024653066,1949.1825,1.3440591,5,100.0
25,6.7718506,0.0012428517,2684.512,1.8851707,5,100.0
26,1.8751221,0.00029497323,4080.8848,3.2278204,5,100.0
27,32.711426,0.0063334377,4757.785,3.0398707,5,100.0
28,259.81738,0.052396495,5725.0283,3.6929843,5,100.0
29,6.083496,0.0009927074,4546.199,2.9696822,5,100.0
30,140.58337,0.024755938,5581.7188,3.952452,5,100.0
31,1.9268188,0.0003449613,2207.8765,1.7014923,5,100.0
32,0.8406372,0.00014624072,1302.0363,0.9199098,5,100.0
33,5.834961,0.0008567823,2884.6365,2.1444652,5,100.0
34,0.8352661,0.00014987486,1491.4005,1.1015298,5,100.0
35,1.6403809,0.0002336462,1603.7483,1.1507275,5,100.0
36,5.554199,0.00089559774,3215.29,2.1519382,5,100.0
37,19.156494,0.0033784306,4251.9395,3.0644917,5,100.0
38,1.6762695,0.00024075368,4673.4033,3.2262082,5,100.0
39,0.8724365,0.00016448373,2885.4375,2.0440664,5,100.0
40,0.881897,0.00015186435,2681.2769,1.9480348,5,100.0
41,15.185303,0.0023837057,9419.843,6.6116076,5,100.0
42,9.883057,0.0016577462,4273.267,3.0982969,5,100.0
43,3.1114502,0.00050041935,4277.6123,2.8843193,5,100.0
44,2.0905762,0.00028830356,7763.42,5.554419,5,100.0
45,3.50354,0.0004475569,5080.522,3.503478,5,100.0
46,0.37060547,5.9824204e-05,1760.3345,1.3633283,5,100.0
47,1.2752686,0.00019097378,1306.2753,0.9697782,5,100.0
48,2.727539,0.00049169245,2931.9436,2.0896657,5,100.0
49,1.7590332,0.0002544561,2616.903,1.790542,5,100.0
0,11.476196,0.0018945953,11852.971,4.9306893,10,0.1
1,4.432617,0.0005531556,3483.1145,1.3762234,10,0.1
2,6.1956787,0.0009848188,5892.3555,2.5743985,10,0.1
3,2.1782227,0.0003955666,3219.411,1.4852016,10,0.1
4,10.350586,0.0019951088,4244.7056,1.9655619,10,0.1
5,4.816162,0.00067204755,6820.5566,2.7788122,10,0.1
6,2.09552,0.0003619997,4313.3545,2.3027139,10,0.1
7,1.2530518,0.00022548948,3775.4492,1.6961031,10,0.1
8,13.955017,0.0027291893,4758.322,2.4152195,10,0.1
9,2.0012207,0.00030778075,5235.9316,2.4364982,10,0.1
10,10.289307,0.0019317436,3419.818,1.6116433,10,0.1
11,0.5745239,0.00010410733,2852.9817,1.6624793,10,0.1
12,3.1314697,0.0004754287,5762.7544,2.6250246,10,0.1
13,1.5975342,0.00024272215,6646.2344,3.0204408,10,0.1
14,10.612549,0.0017949619,5970.1094,2.739961,10,0.1
15,0.5159912,6.9258924e-05,2541.8027,1.1375381,10,0.1
16,0.40393066,5.337642e-05,2324.5562,1.044699,10,0.1
17,3.4456787,0.00047571302,5356.2925,2.2174869,10,0.1
18,20.28009,0.0037560542,6307.7114,2.8505542,10,0.1
19,0.8656006,0.00012148521,2078.8901,1.0300093,10,0.1
20,5.1622314,0.0008874642,7022.922,2.7888093,10,0.1
21,10.614014,0.0017286211,9154.774,3.615676,10,0.1
22,5.0964355,0.0007495491,5630.336,2.4692574,10,0.1
23,8.958496,0.0014200737,9450.941,3.607576,10,0.1
24,0.50024414,7.1564966e-05,2139.3413,0.9661497,10,0.1
25,1.7303467,0.0003175741,3377.8413,1.4915195,10,0.1
26,0.29760742,4.681627e-05,3635.346,2.113213,10,0.1
27,14.559631,0.0028189698,5811.0176,2.3030202,10,0.1
28,34.433533,0.0069440943,6998.962,2.6848266,10,0.1
29,1.0131836,0.00016533173,5275.1714,2.090906,10,0.1
30,10.0998535,0.0017785272,5617.7764,2.6047769,10,0.1
31,0.5734863,0.00010267213,2924.121,1.6056283,10,0.1
32,0.23779297,4.1367446e-05,1459.6266,0.7218182,10,0.1
33,1.2392578,0.00018196765,2672.9353,1.349126,10,0.1
34,0.62335205,0.00011185035,1969.0664,0.97746277,10,0.1
35,0.7390137,0.00010526076,2102.0273,0.9732153,10,0.1
36,1.2954102,0.00020888096,3379.9714,1.4217243,10,0.1
37,5404.4937,0.95313406,4450.3076,2.063548,10,0.1
38,0.70703125,0.000101547135,4398.817,1.925658,10,0.1
39,1.9484863,0.00036735545,2825.9414,1.3922687,10,0.1
40,0.6599121,0.00011363813,2546.396,1.2839417,10,0.1
41,5.0219727,0.0007883218,6271.7495,2.8501785,10,0.1
42,2.517212,0.0004222275,4799.8525,2.2657387,10,0.1
43,4.461792,0.0007175969,5294.6206,2.291424,10,0.1
44,2.1877441,0.00030170364,3596.3452,1.6953771,10,0.1
